,Date,Positive,Negative,Neutral,Compound
1302,2019-09-18,0.10827499999999998,0.055325,0.8364499999999998,0.172715
1303,2019-09-19,0.07902380952380952,0.04321428571428572,0.8777142857142858,0.15413809523809527
1304,2019-09-20,0.09506451612903226,0.08196774193548388,0.8229354838709677,0.06488064516129032
1305,2019-09-21,0.1278461538461539,0.08723076923076922,0.7848846153846154,0.09921153846153846
1306,2019-09-22,0.13553125000000002,0.04246875,0.8220312499999999,0.302690625
1307,2019-09-23,0.13203333333333334,0.03758333333333333,0.8303666666666667,0.26552999999999993
1308,2019-09-24,0.1074893617021277,0.06897872340425532,0.8235531914893615,0.014138297872340446
1309,2019-09-25,0.10277777777777779,0.07464814814814814,0.8225925925925927,0.061090740740740716
1310,2019-09-26,0.12619148936170213,0.07906382978723404,0.7948297872340427,0.17667234042553195
1311,2019-09-27,0.10221052631578946,0.03531578947368421,0.8625263157894738,0.17332631578947372
1312,2019-09-28,0.13033333333333333,0.04905128205128206,0.8205897435897435,0.1594820512820513
1313,2019-09-29,0.10996551724137932,0.08237931034482758,0.8076206896551724,0.12388620689655172
1314,2019-09-30,0.09218518518518518,0.08103703703703705,0.8268148148148148,0.06555555555555555
