,Unnamed: 0,Date,Positive,Negative,Neutral,Compound,Closing_price,Opening_price,High_price,Low_price
1397,1397,2019-12-22,0.16440000000000002,0.07545714285714286,0.7600571428571431,0.25974571428571425,[7236.98620461],[7286.33631015],[7356.64051914],[7083.7347261]
1398,1398,2019-12-23,0.1754333333333333,0.07053333333333334,0.7539999999999999,0.28793666666666673,[7166.17237853],[7236.98608629],[7498.79730446],[7127.93625472]
1399,1399,2019-12-24,0.149,0.0725909090909091,0.7784318181818182,0.16308636363636364,[7235.6266505],[7166.17304518],[7292.00673583],[7045.12291457]
1400,1400,2019-12-25,0.10055555555555556,0.10055555555555556,0.798851851851852,-0.03392592592592593,[7212.80939522],[7235.62358159],[7277.80411105],[7120.21395008]
1401,1401,2019-12-26,0.12634285714285715,0.037371428571428576,0.8362571428571427,0.2514114285714286,[7183.70653603],[7212.80836135],[7427.47228016],[7105.72386359]
1402,1402,2019-12-27,0.10787096774193547,0.06409677419354838,0.8280645161290323,0.13976451612903226,[7227.29371168],[7183.7060826],[7251.38124578],[7065.27830843]
1403,1403,2019-12-28,0.124,0.06103030303030304,0.8149696969696972,0.18576969696969706,[7311.56064392],[7227.29438829],[7348.78979432],[7217.0795968]
1404,1404,2019-12-29,0.14867999999999998,0.044320000000000005,0.80696,0.336252,[7385.46484791],[7315.15154817],[7520.63703409],[7272.59379078]
1405,1405,2019-12-30,0.12586486486486487,0.052918918918918915,0.8212432432432433,0.19565945945945948,[7251.27679432],[7379.15788121],[7396.6033218],[7202.13076589]
1406,1406,2019-12-31,0.15534375000000006,0.05509375,0.7895312500000001,0.254484375,[7179.95781929],[7251.27788754],[7298.89204162],[7119.62694587]
1407,1407,2020-01-01,0.14665217391304344,0.05604347826086957,0.7973695652173912,0.23065217391304346,[7174.74401195],[7179.95768862],[7237.01486597],[7152.99240213]
1408,1408,2020-01-02,0.1297692307692308,0.08476923076923076,0.7854615384615385,0.1654974358974359,[6955.48757967],[7174.71235654],[7190.18874928],[6914.8574738]
1409,1409,2020-01-03,0.17949090909090912,0.0658,0.7546909090909091,0.25740181818181823,[7291.21950532],[6955.48757967],[7390.04183506],[6852.09340145]
1410,1410,2020-01-04,0.13636363636363638,0.09021212121212124,0.7734242424242423,0.15001515151515155,[7337.63667014],[7291.2175036],[7390.76293533],[7263.17869561]
1411,1411,2020-01-05,0.1340285714285714,0.08811428571428571,0.7778000000000002,0.14758285714285715,[7347.43326444],[7337.42139068],[7487.33387079],[7316.76337026]
1412,1412,2020-01-06,0.094125,0.056125,0.849725,0.16557249999999996,[7713.86075365],[7351.57888987],[7749.6486133],[7339.70252309]
1413,1413,2020-01-07,0.12967499999999998,0.08170000000000002,0.788625,0.1331775,[8039.60370082],[7714.90848375],[8192.15887712],[7708.88535127]
1414,1414,2020-01-08,0.13274468085106386,0.1133617021276596,0.7540000000000002,0.05642553191489363,[8067.60636906],[8046.80294348],[8463.18341841],[7871.03549948]
1415,1415,2020-01-09,0.1315,0.07146428571428573,0.7970357142857143,0.18156785714285714,[7808.70136382],[8046.1115293],[8046.2838824],[7755.40122678]
1416,1416,2020-01-10,0.08594285714285715,0.06360000000000003,0.8505142857142857,0.13996285714285714,[8087.45288524],[7808.70373265],[8136.4991261],[7670.45779159]
1417,1417,2020-01-11,0.13835294117647054,0.07626470588235296,0.7854411764705884,0.17291470588235291,[8078.99353199],[8195.47599927],[8278.66057964],[8008.90511698]
1418,1418,2020-01-12,0.10442857142857144,0.026428571428571426,0.8690952380952381,0.22417619047619047,[8149.31371715],[8080.22961432],[8188.38580234],[7959.53352198]
1419,1419,2020-01-13,0.1345,0.08174999999999999,0.7836666666666666,0.24665416666666676,[8116.96100795],[8150.80733636],[8191.18771482],[8035.31553036]
1420,1420,2020-01-14,0.1250847457627119,0.033627118644067804,0.8412542372881356,0.3073169491525424,[8735.14243914],[8110.51123475],[8848.92199452],[8108.95403877]
1421,1421,2020-01-15,0.11736956521739132,0.07526086956521738,0.8073695652173912,0.17594347826086948,[8843.67573222],[8735.14841731],[8897.64379259],[8558.74437734]
1422,1422,2020-01-16,0.11714285714285713,0.03957142857142857,0.8432857142857142,0.22286571428571428,[8711.6375779],[8825.38542802],[8855.53013539],[8587.518351]
1423,1423,2020-01-17,0.13591666666666666,0.06680555555555558,0.7973333333333331,0.2454777777777777,[8925.29902845],[8711.63731073],[9009.53370015],[8665.01153775]
1424,1424,2020-01-18,0.12911428571428568,0.0442,0.8267428571428571,0.2584314285714286,[8939.86430025],[8925.30348637],[8971.89063231],[8803.09443504]
1425,1425,2020-01-19,0.1076206896551724,0.0911896551724138,0.8011896551724139,0.13861206896551725,[8638.18144046],[8939.87999443],[9181.9727908],[8455.12902754]
1426,1426,2020-01-20,0.12855813953488374,0.08409302325581393,0.7873488372093025,0.12074186046511624,[8652.68376299],[8638.18271269],[8739.35381923],[8502.57031853]
1427,1427,2020-01-21,0.17654545454545453,0.04268181818181818,0.7808636363636364,0.4308545454545454,[8708.78601343],[8652.68246881],[8783.75010001],[8486.34045738]
1428,1428,2020-01-22,0.11578260869565216,0.07326086956521738,0.811086956521739,0.17273478260869565,[8635.07435696],[8708.83522212],[8797.77361403],[8575.10328551]
1429,1429,2020-01-23,0.13046875000000002,0.086875,0.7825937499999999,0.10339062499999996,[8384.08877677],[8635.07410753],[8665.27240598],[8277.80912682]
