Date,Positive,Negative,Neutral,Compound,Closing_price
12/19/2019,0.0940625,0.02721875,0.87878125,0.255140625,7147.568324
12/20/2019,0.1124,0.04852,0.83908,0.274036,7139.933371
12/21/2019,0.107952381,0.075142857,0.816904762,0.142,7286.335081
12/22/2019,0.1644,0.075457143,0.760057143,0.259745714,7236.986205
12/23/2019,0.175433333,0.070533333,0.754,0.287936667,7166.172379
12/24/2019,0.149,0.072590909,0.778431818,0.163086364,7235.626651
12/25/2019,0.100555556,0.100555556,0.798851852,-0.033925926,7212.809395
12/26/2019,0.126342857,0.037371429,0.836257143,0.251411429,7183.706536
12/27/2019,0.107870968,0.064096774,0.828064516,0.139764516,7227.293712
12/28/2019,0.124,0.061030303,0.814969697,0.185769697,7311.560644
12/29/2019,0.14868,0.04432,0.80696,0.336252,7385.464848
12/30/2019,0.125864865,0.052918919,0.821243243,0.195659459,7251.276794
12/31/2019,0.15534375,0.05509375,0.78953125,0.254484375,7179.957819
1/1/2020,0.146652174,0.056043478,0.797369565,0.230652174,7174.744012
1/2/2020,0.129769231,0.084769231,0.785461538,0.165497436,6955.48758
1/3/2020,0.179490909,0.0658,0.754690909,0.257401818,7291.219505
1/4/2020,0.136363636,0.090212121,0.773424242,0.150015152,7337.63667
1/5/2020,0.134028571,0.088114286,0.7778,0.147582857,7347.433264
1/6/2020,0.094125,0.056125,0.849725,0.1655725,7713.860754
1/7/2020,0.129675,0.0817,0.788625,0.1331775,8039.603701
1/8/2020,0.132744681,0.113361702,0.754,0.056425532,8067.606369
1/9/2020,0.1315,0.071464286,0.797035714,0.181567857,7808.701364
1/10/2020,0.085942857,0.0636,0.850514286,0.139962857,8087.452885
1/11/2020,0.138352941,0.076264706,0.785441176,0.172914706,8078.993532
1/12/2020,0.104428571,0.026428571,0.869095238,0.22417619,8149.313717
1/13/2020,0.1345,0.08175,0.783666667,0.246654167,8116.961008
1/14/2020,0.125084746,0.033627119,0.841254237,0.307316949,8735.142439
1/15/2020,0.117369565,0.07526087,0.807369565,0.175943478,8843.675732
1/16/2020,0.117142857,0.039571429,0.843285714,0.222865714,8711.637578
1/17/2020,0.135916667,0.066805556,0.797333333,0.245477778,8925.299028
1/18/2020,0.129114286,0.0442,0.826742857,0.258431429,8939.8643
1/19/2020,0.10762069,0.091189655,0.801189655,0.138612069,8638.18144
1/20/2020,0.12855814,0.084093023,0.787348837,0.12074186,8652.683763
1/21/2020,0.176545455,0.042681818,0.780863636,0.430854545,8708.786013
1/22/2020,0.115782609,0.07326087,0.811086957,0.172734783,8635.074357
1/23/2020,0.13046875,0.086875,0.78259375,0.103390625,8384.088777
1/24/2020,0.127769231,0.072192308,0.800076923,0.153757692,8451.232296
1/25/2020,0.110555556,0.050296296,0.839185185,0.177544444,8347.567505
1/26/2020,0.099263158,0.082421053,0.818368421,0.066410526,8562.30747
1/27/2020,0.121285714,0.086714286,0.792,0.118769048,8881.962391
1/28/2020,0.124023256,0.054,0.821930233,0.204562791,9131.114988
1/29/2020,0.17295122,0.055097561,0.771902439,0.331107317,9320.978406
1/30/2020,0.123930233,0.057906977,0.818139535,0.20654186,9545.077957
1/31/2020,0.123194444,0.048833333,0.828,0.220702778,9388.880752
2/1/2020,0.090708333,0.053916667,0.855416667,0.1664375,9363.193383
2/2/2020,0.111677083,0.0389375,0.849375,0.178292708,9385.260386
2/3/2020,0.127244898,0.053061224,0.819693878,0.186383673,9269.707035
2/4/2020,0.098396226,0.046679245,0.854924528,0.167501887,9177.894637
2/5/2020,0.1266,0.046426667,0.826973333,0.255085333,9625.456637
2/6/2020,0.137931034,0.064172414,0.797862069,0.216837931,9681.377411
2/7/2020,0.132181818,0.05869697,0.809151515,0.291257576,9795.344066
2/8/2020,0.133323529,0.032176471,0.834470588,0.229535294,9927.778256
2/9/2020,0.112346667,0.060453333,0.827213333,0.197457333,10132.7065
2/10/2020,0.147125,0.033645833,0.819208333,0.345670833,9838.900016
2/11/2020,0.109272727,0.033931818,0.856863636,0.200854545,10236.63515
2/12/2020,0.151823529,0.068372549,0.779803922,0.202776471,10364.92629
2/13/2020,0.119052632,0.07645614,0.80445614,0.139294737,10218.09974
2/14/2020,0.16184375,0.06309375,0.77503125,0.252728125,10367.528
2/15/2020,0.121558824,0.065735294,0.812676471,0.153626471,9926.353691
2/16/2020,0.1555,0.058117647,0.786411765,0.219438235,9876.234963
2/17/2020,0.104392857,0.087285714,0.808357143,0.135846429,9636.624095
2/18/2020,0.123847826,0.062391304,0.813782609,0.144063043,10189.99598
2/19/2020,0.114586207,0.062413793,0.822948276,0.24032069,9701.037192
2/20/2020,0.107058824,0.075382353,0.817529412,0.164047059,9631.484946
2/21/2020,0.095658537,0.07202439,0.832292683,0.117865854,9670.858654
2/22/2020,0.133774194,0.064967742,0.801258065,0.184051613,9689.086743
2/23/2020,0.121976744,0.073953488,0.804186047,0.181183721,9919.551448
2/24/2020,0.151543478,0.08726087,0.761152174,0.220256522,9640.469505
2/25/2020,0.133904762,0.077166667,0.788928571,0.177409524,9392.869629
2/26/2020,0.114943396,0.098886792,0.786132075,0.0628,8787.978363
2/27/2020,0.161538462,0.058564103,0.779897436,0.247084615,8784.995352
2/28/2020,0.169842105,0.081921053,0.748131579,0.156542105,8778.470511
2/29/2020,0.197580645,0.040935484,0.761483871,0.418832258,8639.591417
3/1/2020,0.073333333,0.068142857,0.85852381,0.029319048,8548.948322
3/2/2020,0.131703704,0.066740741,0.801518519,0.16472963,8923.044398
3/3/2020,0.087068182,0.094522727,0.818409091,-0.038752273,8791.112058
3/4/2020,0.13085,0.068266667,0.800883333,0.180438333,8756.961062
3/5/2020,0.128673469,0.055693878,0.815653061,0.272265306,9078.578777
3/6/2020,0.136717949,0.067717949,0.795538462,0.157635897,9126.636822
3/7/2020,0.16652,0.08628,0.74712,0.247532,8925.213488
3/8/2020,0.088428571,0.132914286,0.778628571,-0.074668571,8166.313894
3/9/2020,0.128768293,0.094792683,0.77645122,0.075236585,7875.750875
3/10/2020,0.106897436,0.071128205,0.822051282,0.156884615,7959.228274
3/11/2020,0.124625,0.05765,0.817725,0.142855,7955.306284
3/12/2020,0.126327434,0.104079646,0.76960177,0.046730088,5800.208905
3/13/2020,0.124,0.090227273,0.785790909,0.106493636,5672.681201
3/14/2020,0.141425,0.095,0.7635,0.080385,5304.149952
3/15/2020,0.113641509,0.105962264,0.78045283,0.037543396,5355.187374
3/16/2020,0.109,0.115092308,0.775923077,0.036809231,4944.702336
3/17/2020,0.13955,0.068283333,0.79215,0.197773333,5465.582594
3/18/2020,0.114383562,0.099643836,0.785986301,0.037708219,5363.822853
3/19/2020,0.092477612,0.082268657,0.825268657,0.021014925,6301.063404
3/20/2020,0.078607843,0.088294118,0.833039216,0.008986275,6185.279839
3/21/2020,0.122268293,0.055341463,0.822439024,0.185982927,6187.05375
3/22/2020,0.112857143,0.0675,0.819535714,0.116521429,5884.340133
3/23/2020,0.096017857,0.074446429,0.829553571,0.043266071,6455.454688
3/24/2020,0.080803922,0.050666667,0.86854902,0.110470588,6784.318011
3/25/2020,0.134693878,0.087591837,0.777734694,0.089514286,6706.985089
3/26/2020,0.12702439,0.07395122,0.79897561,0.158170732,6721.495392
3/27/2020,0.119433333,0.0639,0.816733333,0.1868,6682.780049
3/28/2020,0.151357143,0.062571429,0.786071429,0.204992857,6229.488343
3/29/2020,0.188416667,0.079791667,0.731791667,0.239658333,5922.489835
3/30/2020,0.135967742,0.068677419,0.795387097,0.163122581,6483.739446
3/31/2020,0.105733333,0.069866667,0.824466667,0.110786667,6446.421347
4/1/2020,0.112872727,0.054963636,0.8322,0.190741818,6537.336462
4/2/2020,0.137076923,0.082211538,0.780673077,0.130859615,6850.558712
4/3/2020,0.119162162,0.092162162,0.78872973,0.106478378,6776.370094
4/4/2020,0.130892857,0.070321429,0.798821429,0.216032143,6855.933264
